#QUERIES;AGG-PAIRS-L-MERGE;AGG-PAIRS-E-MERGE;AGG-B2B-L-MERGE;AGG-B2B-E-MERGE;AGG-GEN-L-MERGE;AGG-GEN-E-MERGE;AGG-PAIRS-L-UPDATE;AGG-PAIRS-E-UPDATE;AGG-B2B-L-UPDATE;AGG-B2B-E-UPDATE;AGG-GEN-L-UPDATE;AGG-GEN-E-UPDATE;RED-PAIRS-L;RED-PAIRS-E;RED-B2B-L;RED-B2B-E;RED-GEN-L;RED-GEN-E;MAXB-PAIR-L;MAXB-PAIR-E;MAXB-B2B-L;MAXB-B2B-E;MAXB-GEN-L;MAXB-GEN-E;AVGB-PAIR-L;AVGB-PAIR-E;AVGB-B2B-L;AVGB-B2B-E;AVGB-GEN-L;AVGB-GEN-E;PARTIALS-PAIR-L;PARTIALS-PAIR-E;PARTIALS-B2B-L;PARTIALS-B2B-E;PARTIALS-GEN-L;PARTIALS-GEN-E;AVGCPU-PAIR-L;AVGCPU-PAIR-E;AVGCPU-B2B-L;AVGCPU-B2B-E;AVGCPU-GEN-L;AVGCPU-GEN-E;TOTALCPU-PAIR-L;TOTALCPU-PAIR-E;TOTALCPU-B2B-L;TOTALCPU-B2B-E;TOTALCPU-GEN-L;TOTALCPU-GEN-E;MAXB-NO;AVGB-NO;RED-NO
1;9252;4626;4626;4626;62446374;62435;32381251;32399756;32385878;32385878;0;858082771;32390503;32404382;32390504;32390504;62446374;858145206;4;7;4;7;16384;32767;4.0;7.0;3.0;5.0;2977.4545454545455;5953.909090909091;9255;9255;4628;4628;32390506;32390506;1321.0;1277.0;1254.0;1232.0;2330.0;8036.0;42792842000;41380733000;40630646000;39909495000;75478822000;2,60315E+11;1024;290;62446374
10;2914337;470730;1855827;464722;1512769315;1252443;32325724;32762850;32349169;32611235;0;922680786;35240061;33233580;34204996;33075957;1512769315;923933229;64;127;32;63;32768;65535;24.8;48.6;15;29;5460;10919;64782;64782;41337;41337;32390506;32390506;1498;1489;1401;1405;8486;7984;48534892000;48248698000;45399041000;45519959000;2.75E+16;2.59E+16;10240;2900;624463740
20;4376711;701422;2987872;715069;2272125935;1918268;32325724;32762850;32346225;32622505;0;922680786;36702435;33464272;35334097;33337574;2272125935;924599054;64;127;32;63;32768;65535;24.8;48.6;15.0;29.0;5460.0;10919.0;64782;64782;44281;44281;32390506;32390506;1872.0;1788.0;1600.0;1613.0;13692.0;9285.0;60655803000;57917577000;51836927000;52259674000;4,43493E+11;3,0077E+11;20480;5800;1248927480
40;10188061;1593907;8122743;1451464;5315777522;4457785;32325724;32789298;32338151;32737249;0;922652786;42513785;34383205;40460894;34188713;5315777522;927110571;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460;10919;64782;64782;52355;52355;32390506;32390506;2785;2730;2102;2069;28305;9647;90229997000;88456362000;68104839000;67039216000;9.17E+16;3.12E+16;40960;11600;2497854960
