#QUERIES;AGG-B2B-L-MERGE;AGG-B2B-E-MERGE;AGG-GEN-L-MERGE;AGG-GEN-E-MERGE;AGG-B2B-L-UPDATE;AGG-B2B-E-UPDATE;AGG-GEN-L-UPDATE;AGG-GEN-E-UPDATE;RED-B2B-L;RED-B2B-E;RED-GEN-L;RED-GEN-E;MAXB-B2B-L;MAXB-B2B-E;MAXB-GEN-L;MAXB-GEN-E;AVGB-B2B-L;AVGB-B2B-E;AVGB-GEN-L;AVGB-GEN-E;PARTIALS-B2B-L;PARTIALS-B2B-E;PARTIALS-GEN-L;PARTIALS-GEN-E;AVGCPU-B2B-L;AVGCPU-B2B-E;AVGCPU-GEN-L;AVGCPU-GEN-E;TOTALCPU-B2B-L;TOTALCPU-B2B-E;TOTALCPU-GEN-L;TOTALCPU-GEN-E
1;0;0;30685482;13415;32388355;32388355;0;435442982;32388355;32388355;30685482;435456397;4;7;33554432;67108863;3.0;5.0;3050402.1818181816;6100803.363636363;2151;2151;32390506;32390506;198.0;195.0;15002.0;3917.0;6421875000;6343750000;4,85938E+11;1,26891E+11
10;302692;54872;342777916;191381;32363896;32555764;0;415786832;32666588;32610636;342777916;415978213;4096;8191;8388608;16777215;511.9344262295082;1022.8688524590164;304567.724137931;609134.448275862;26610;26610;32390506;32390506;268.0;256.0;13209.0;3912.0;8703125000;8296875000;4,27859E+11;1,26734E+11
20;929352;78713;2768665860;285185;32349128;32662668;0;426625684;33278480;32741381;2768665860;426910869;8192;16383;8388608;16777215;1193.9847328244275;2386.969465648855;1457888.2807017544;2915775.5614035088;41378;41378;32390506;32390506;360.0;305.0;71240.0;4382.0;11671875000;9906250000;2,30753E+12;1,41938E+11
