#QUERIES;AGG-PAIRS-L-MERGE;AGG-PAIRS-E-MERGE;AGG-B2B-L-MERGE;AGG-B2B-E-MERGE;AGG-GEN-L-MERGE;AGG-GEN-E-MERGE;AGG-PAIRS-L-UPDATE;AGG-PAIRS-E-UPDATE;AGG-B2B-L-UPDATE;AGG-B2B-E-UPDATE;AGG-GEN-L-UPDATE;AGG-GEN-E-UPDATE;RED-PAIRS-L;RED-PAIRS-E;RED-B2B-L;RED-B2B-E;RED-GEN-L;RED-GEN-E;MAXB-PAIR-L;MAXB-PAIR-E;MAXB-B2B-L;MAXB-B2B-E;MAXB-GEN-L;MAXB-GEN-E;AVGB-PAIR-L;AVGB-PAIR-E;AVGB-B2B-L;AVGB-B2B-E;AVGB-GEN-L;AVGB-GEN-E;PARTIALS-PAIR-L;PARTIALS-PAIR-E;PARTIALS-B2B-L;PARTIALS-B2B-E;PARTIALS-GEN-L;PARTIALS-GEN-E;AVGCPU-PAIR-L;AVGCPU-PAIR-E;AVGCPU-B2B-L;AVGCPU-B2B-E;AVGCPU-GEN-L;AVGCPU-GEN-E;TOTALCPU-PAIR-L;TOTALCPU-PAIR-E;TOTALCPU-B2B-L;TOTALCPU-B2B-E;TOTALCPU-GEN-L;TOTALCPU-GEN-E;MAXB-NO;AVGB-NO;AGG-NO
1;647796;269913;647796;215930;107858034;1349156;32174568;32930337;32174568;32552453;0;599211755;32822364;33200250;32606435;32768383;107858034;600560911;8;15;4;7;1024;2047;6;11;4;7;290.2857143;579.5714286;215938;215938;107969;107969;32390506;32390506;1278;1282;1227;1258;2171;5822;41408296000;41545954000;39763191000;40760123000;70338617000;1.89E+16;1024;290;107858034
10;2914337;470730;1855827;464722;1512769315;1252443;32325724;32762850;32349169;32611235;0;922680786;35240061;33233580;34204996;33075957;1512769315;923933229;64;127;32;63;32768;65535;24.8;48.6;15;29;5460;10919;64782;64782;41337;41337;32390506;32390506;1498;1489;1401;1405;8486;7984;48534892000;48248698000;45399041000;45519959000;2.75E+16;2.59E+16;10240;2900;1078580340
20;3516910;480815;2071713;507109;1869432544;1578819;32327060;32796593;32352700;32610676;0;922687786;35843970;33277408;34424413;33117785;1869432544;924266605;64;127;32;63;32768;65535;24.8;48.6;15;29;5460;10919;63446;63446;37806;37806;32390506;32390506;1826;1781;1599;1602;11592;9403;59170273000;57694590000;51815802000;51904163000;3.75E+16;3.05E+16;20480;5800;2157160680
40;10188061;1593907;8122743;1451464;5315777522;4457785;32325724;32789298;32338151;32737249;0;922652786;42513785;34383205;40460894;34188713;5315777522;927110571;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460;10919;64782;64782;52355;52355;32390506;32390506;2785;2730;2102;2069;28305;9647;90229997000;88456362000;68104839000;67039216000;9.17E+16;3.12E+16;40960;11600;4314321360
