SCEN	CASE	TIME	AGG	RED	UPD	MAXB	AVGB	UPD_AVG	MERGE_AVG	WINDOW_CNT	PARTIAL_CNT	TOTAL_OP_TIME	TOTAL_CPU_TIME	AVG_OP_TIME	AVG_CPU_TIME
0	0	136526	3808728	36067615	32258887	64	24.8	1.257297916418438E-4	0.006749193939090195	119717	131619	86738	49912948000	0.0	1540.0
0	1	133033	489013	33642200	33153187	127	48.6	9.99012210917952E-5	0.005696720626806328	119717	131619	83810	47596191000	0.0	1469.0
0	2	136121	1101871	33453508	32351637	16	9.333333333333334	9.312544568003547E-5	0.003541656225463172	119717	38869	81518	45443678000	0.0	1402.0
0	3	140105	458560	33024090	32565530	31	17.666666666666668	9.685663075529516E-5	0.003224243639218831	119717	38869	83069	46886632000	0.0	1447.0
0	4	253264	975718687	975718687	0	16384	2977.4545454545455	3.41797675473249E-4	0.9002656242169097	119717	32390506	241179	192406312000	0.0	5940.0
0	5	329564	1396788	859525059	858128271	32767	5953.909090909091	0.0031194324929832064	0.0033578910439532902	119717	32390506	316438	268926189000	0.0	8302.0
