SCEN	CASE	TIME	AGG	RED	UPD	MAXB	AVGB	UPD_AVG	MERGE_AVG	WINDOW_CNT	PARTIAL_CNT	TOTAL_OP_TIME	TOTAL_CPU_TIME	AVG_OP_TIME	AVG_CPU_TIME
0	2	146714	0	32388355	32388355	4	3.0	1.0919141335025404E-4	0.02185030218503022	2150	2151	79529	41059097000	0.0	1267.0
0	3	141958	0	32388355	32388355	7	5.0	1.0536338528821516E-4	0.009298000929800094	2150	2151	77344	40045797000	0.0	1236.0
0	4	3308654	30685482	30685482	0	33554432	3050402.1818181816	6.580631788196461E-4	1399.3059042305904	2150	32390506	3286371	927548279000	0.0	28636.0

